Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2021-08-13,Operations,Training,North,11915,94686,Card,TXN102867,82771,694.6789760805707
2023-09-10,Sales,Travel,South,49980,169496,Bank Transfer,TXN102868,119516,239.12765106042414
2022-12-30,Sales,Travel,North,19440,111726,Cash,TXN102869,92286,474.7222222222222
2023-12-05,HR,Travel,East,145891,98539,Bank Transfer,TXN102870,-47352,-32.45710838913984
2023-12-19,HR,Salaries,East,83415,158544,Bank Transfer,TXN102871,75129,90.06653479590003
2022-10-06,IT,Marketing,East,100352,47378,Cash,TXN102872,-52974,-52.78818558673469
2022-09-08,IT,Salaries,Central,42225,113542,Card,TXN102873,71317,168.89757252812313
2021-07-14,IT,Infrastructure,East,116860,30617,Cash,TXN102874,-86243,-73.80027383193564
2022-05-04,Sales,Travel,North,105367,66052,Cash,TXN102875,-39315,-37.31244127668055
2021-06-06,Marketing,Travel,South,79656,72129,Cash,TXN102876,-7527,-9.449382344079542
2022-09-02,Marketing,Training,Central,114780,159119,Card,TXN102877,44339,38.629552186792125
2022-02-16,Marketing,Training,South,12961,124076,Cash,TXN102878,111115,857.3026772625569
2022-04-16,Marketing,Travel,East,88385,60454,Bank Transfer,TXN102879,-27931,-31.601516094359905
2022-05-31,IT,Utilities,West,42545,37270,Cash,TXN102880,-5275,-12.398636737571984
2022-01-28,Sales,Training,Central,61569,118016,Cash,TXN102881,56447,91.6808783641118
2022-09-23,Marketing,Marketing,East,142688,122400,UPI,TXN102882,-20288,-14.218434626597892
2022-08-31,Operations,Salaries,Central,133915,11217,UPI,TXN102883,-122698,-91.6237912108427
2023-09-07,Finance,Marketing,West,84447,136066,Bank Transfer,TXN102884,51619,61.12591329472924
2022-03-10,Operations,Training,North,35549,144888,Card,TXN102885,109339,307.5726462066443
2022-06-24,Sales,Travel,North,82361,49106,UPI,TXN102886,-33255,-40.377120238948045
2021-10-05,Sales,Infrastructure,North,28230,131859,Bank Transfer,TXN102887,103629,367.0882040382572
2021-08-21,Finance,Utilities,West,60618,73162,UPI,TXN102888,12544,20.693523375894948
2021-12-28,HR,Training,South,124676,98847,UPI,TXN102889,-25829,-20.716898200134747
2021-01-26,HR,Marketing,West,18882,89363,Card,TXN102890,70481,373.2708399533948
2023-11-15,HR,Infrastructure,West,91844,54175,Card,TXN102891,-37669,-41.01411088367231
2022-05-22,IT,Training,East,127200,146730,UPI,TXN102892,19530,15.35377358490566
2021-09-24,HR,Travel,North,125933,79588,UPI,TXN102893,-46345,-36.80131498495231
2022-04-06,IT,Travel,Central,32500,74389,Card,TXN102894,41889,128.88923076923078
2022-04-01,IT,Travel,South,91410,73783,Card,TXN102895,-17627,-19.28344820041571
2023-12-28,HR,Travel,Central,63383,133059,Bank Transfer,TXN102896,69676,109.92852973194704
2023-10-04,HR,Training,East,76513,54604,UPI,TXN102897,-21909,-28.634349718348517
2023-05-13,Finance,Utilities,East,82258,161948,Card,TXN102898,79690,96.87811519852173
2022-05-06,Marketing,Utilities,South,23217,84031,UPI,TXN102899,60814,261.93737347633197
2023-12-09,Finance,Marketing,Central,96427,100664,Bank Transfer,TXN102900,4237,4.39399753181163
2022-07-18,IT,Training,South,55272,136600,Cash,TXN102901,81328,147.14140975539152
2021-08-04,Finance,Travel,South,93053,75999,UPI,TXN102902,-17054,-18.327189881035537
2022-07-13,IT,Utilities,North,71724,153726,Bank Transfer,TXN102903,82002,114.32993140371424
2021-06-08,Sales,Training,Central,47633,126425,Cash,TXN102904,78792,165.41473348308946
2022-05-04,IT,Infrastructure,North,51528,82713,UPI,TXN102905,31185,60.5204937121565
2022-11-17,IT,Utilities,North,19513,62933,Bank Transfer,TXN102906,43420,222.51832111925384
2023-03-05,Finance,Utilities,North,82901,134934,Cash,TXN102907,52033,62.765225992448826
2021-01-05,Marketing,Marketing,West,70922,29750,Bank Transfer,TXN102908,-41172,-58.05250838949833
2021-12-27,Sales,Utilities,East,114936,76670,Bank Transfer,TXN102909,-38266,-33.293311060068206
2022-04-04,Operations,Infrastructure,East,110071,155245,Bank Transfer,TXN102910,45174,41.04078276748644
2021-09-05,Operations,Travel,West,110378,146742,Bank Transfer,TXN102911,36364,32.94497091811774
2023-08-04,Marketing,Salaries,South,60293,83148,Cash,TXN102912,22855,37.90655631665367
2022-02-26,Operations,Marketing,Central,109381,160352,Card,TXN102913,50971,46.59950082738318
2021-01-15,Sales,Infrastructure,Central,65272,59469,Bank Transfer,TXN102914,-5803,-8.890489030518447
2023-01-06,HR,Marketing,Central,18670,128839,Cash,TXN102915,110169,590.0856989823245
2021-10-04,Sales,Training,North,37809,31257,Bank Transfer,TXN102916,-6552,-17.329207331587718
2022-03-29,Finance,Travel,Central,28069,75197,UPI,TXN102917,47128,167.9005308347287
2022-08-21,IT,Utilities,Central,105447,146554,UPI,TXN102918,41107,38.98356520337231
2022-03-22,IT,Training,Central,128179,158331,Card,TXN102919,30152,23.523354059557338
2021-07-29,Finance,Utilities,East,109675,102543,Cash,TXN102920,-7132,-6.502849327558696
2022-12-15,Finance,Infrastructure,West,146531,96811,UPI,TXN102921,-49720,-33.931386532542604
2021-10-29,IT,Travel,South,72289,103068,Cash,TXN102922,30779,42.577708918369325
2021-01-03,Marketing,Salaries,West,37177,71743,UPI,TXN102923,34566,92.97684051967614
2023-09-17,HR,Salaries,Central,13423,158294,Cash,TXN102924,144871,1079.2743797958728
2022-06-04,HR,Utilities,South,71001,48020,Bank Transfer,TXN102925,-22981,-32.367149758454104
2022-05-08,HR,Training,South,54940,114103,Bank Transfer,TXN102926,59163,107.68656716417911
2022-09-12,Finance,Travel,West,146433,132051,UPI,TXN102927,-14382,-9.821556616336482
2021-11-27,IT,Travel,West,11401,106858,Card,TXN102928,95457,837.2686606438032
2021-11-29,Marketing,Infrastructure,West,76948,19399,UPI,TXN102929,-57549,-74.78946821229921
2021-02-19,IT,Training,West,32814,101401,UPI,TXN102930,68587,209.01749253367464
2023-05-13,IT,Salaries,North,13230,61753,Card,TXN102931,48523,366.7649281934996
2021-09-29,Marketing,Infrastructure,East,115825,140888,Bank Transfer,TXN102932,25063,21.638679041657674
2022-08-03,Sales,Marketing,East,114153,81075,Bank Transfer,TXN102933,-33078,-28.976899424456647
2022-07-14,Marketing,Travel,Central,118998,89010,UPI,TXN102934,-29988,-25.200423536530025
2022-11-27,Sales,Salaries,North,48824,57340,Cash,TXN102935,8516,17.442241520563655
2022-03-22,Operations,Infrastructure,South,129410,58592,UPI,TXN102936,-70818,-54.72374623290318
2023-10-14,Sales,Utilities,West,60416,41988,Bank Transfer,TXN102937,-18428,-30.501853813559322
2021-12-23,HR,Marketing,Central,110563,125285,Cash,TXN102938,14722,13.315485288930292
2021-10-01,HR,Infrastructure,South,81812,153019,Card,TXN102939,71207,87.0373539334083
2023-11-09,Marketing,Utilities,East,68876,117364,Bank Transfer,TXN102940,48488,70.3989778732795
2021-11-07,HR,Salaries,South,65572,18253,Card,TXN102941,-47319,-72.16342341243214
2023-05-20,HR,Salaries,West,97304,168710,Bank Transfer,TXN102942,71406,73.3844446271479
2023-06-05,Operations,Marketing,West,98668,109211,Bank Transfer,TXN102943,10543,10.685328576640856
2021-06-03,HR,Utilities,East,124266,128371,Cash,TXN102944,4105,3.303397550416043
2022-09-12,Finance,Travel,West,85111,23604,Bank Transfer,TXN102945,-61507,-72.26680452585448
2023-06-02,Finance,Salaries,North,83367,42483,UPI,TXN102946,-40884,-49.04098744107381
2023-03-08,Finance,Training,Central,78348,118031,Card,TXN102947,39683,50.64966559452698
2021-05-05,Sales,Travel,East,33357,153320,Bank Transfer,TXN102948,119963,359.633660101328
2022-09-11,Marketing,Travel,East,123234,48577,UPI,TXN102949,-74657,-60.58149536653845
2021-09-02,Marketing,Infrastructure,South,95321,35501,Card,TXN102950,-59820,-62.75637057941063
2023-04-28,IT,Infrastructure,East,47783,10670,UPI,TXN102951,-37113,-77.66988259422807
2022-03-26,Operations,Salaries,Central,135985,23135,Bank Transfer,TXN102952,-112850,-82.9870941647976
2023-07-19,Finance,Travel,North,61703,99739,UPI,TXN102953,38036,61.64368021003841
2022-06-04,Finance,Infrastructure,South,126839,58763,Card,TXN102954,-68076,-53.671189460654844
2021-12-28,HR,Utilities,Central,98557,66060,Card,TXN102955,-32497,-32.972797467455386
2021-01-08,Finance,Utilities,East,75923,47932,Card,TXN102956,-27991,-36.867615873977584
2022-04-23,HR,Utilities,West,74748,89052,Bank Transfer,TXN102957,14304,19.136297961149463
2022-05-10,HR,Utilities,West,88728,45024,Cash,TXN102958,-43704,-49.25615363808493
2023-04-13,IT,Travel,Central,127849,94189,UPI,TXN102959,-33660,-26.327933734327214
2023-11-29,Sales,Utilities,North,12380,124210,Card,TXN102960,111830,903.3117932148627
2022-08-16,HR,Travel,West,133256,165007,Card,TXN102961,31751,23.827069700426247
2021-07-06,HR,Salaries,Central,104389,167223,Cash,TXN102962,62834,60.19216584122849
2023-01-24,Marketing,Salaries,South,10743,44138,Card,TXN102963,33395,310.85357907474634
2021-04-03,IT,Utilities,East,50124,47670,Card,TXN102964,-2454,-4.895858271486713
2021-03-27,HR,Utilities,North,128174,35981,Bank Transfer,TXN102965,-92193,-71.92800411940019
2023-12-04,Operations,Utilities,North,55653,11384,Cash,TXN102966,-44269,-79.54467863367654
2021-05-17,Sales,Salaries,South,56072,68416,Card,TXN102967,12344,22.014552717934084
2022-02-25,Operations,Infrastructure,North,132214,157149,Bank Transfer,TXN102968,24935,18.859576141709653
2021-03-15,Finance,Salaries,Central,51302,77719,Bank Transfer,TXN102969,26417,51.49311917664029
2021-06-20,Sales,Utilities,North,87011,100401,Bank Transfer,TXN102970,13390,15.388858879911735
2021-06-19,Finance,Infrastructure,North,116452,132035,Bank Transfer,TXN102971,15583,13.381479064335519
2023-05-22,Marketing,Infrastructure,North,41898,106901,Cash,TXN102972,65003,155.14583034989738
2021-11-18,HR,Marketing,Central,113620,104254,Cash,TXN102973,-9366,-8.243267030452385
2022-04-01,IT,Travel,East,27889,15495,Bank Transfer,TXN102974,-12394,-44.44046039657212
2023-08-02,Operations,Utilities,West,55985,100270,Cash,TXN102975,44285,79.10154505671161
2023-03-01,Finance,Travel,North,84106,73231,UPI,TXN102976,-10875,-12.93011200152189
2022-09-05,HR,Marketing,South,70139,63369,UPI,TXN102977,-6770,-9.652261937010794
2023-06-08,Operations,Travel,South,18897,169899,Bank Transfer,TXN102978,151002,799.0792189236387
2021-12-15,Operations,Utilities,Central,28798,32067,Card,TXN102979,3269,11.351482741857073
2021-01-10,Marketing,Marketing,East,15656,101850,Card,TXN102980,86194,550.5493101686254
2023-01-10,Marketing,Travel,North,22193,152160,UPI,TXN102981,129967,585.6215923939981
2022-10-29,Finance,Salaries,Central,146219,18976,Bank Transfer,TXN102982,-127243,-87.0222064164028
2022-06-30,HR,Infrastructure,West,136474,76712,UPI,TXN102983,-59762,-43.790025939006696
2021-05-09,IT,Marketing,East,112748,103827,UPI,TXN102984,-8921,-7.912335473799979
2022-08-24,Finance,Salaries,East,93366,120716,Card,TXN102985,27350,29.29331876700298
2022-08-28,Operations,Utilities,Central,73628,43666,UPI,TXN102986,-29962,-40.69375780952898
2021-11-23,Operations,Infrastructure,South,143474,36148,Bank Transfer,TXN102987,-107326,-74.80519118446549
2023-09-07,Sales,Marketing,East,15642,91184,Card,TXN102988,75542,482.9433576269019
2022-02-08,HR,Infrastructure,South,93746,145922,Card,TXN102989,52176,55.6567746890534
2022-09-21,Sales,Training,East,17918,122035,UPI,TXN102990,104117,581.0748967518697
2022-12-19,Marketing,Training,East,128535,56332,Cash,TXN102991,-72203,-56.17380480024896
2023-11-07,IT,Marketing,East,124438,116955,UPI,TXN102992,-7483,-6.013436410099809
2021-10-01,Finance,Marketing,West,31061,140626,Bank Transfer,TXN102993,109565,352.7413798654261
2022-11-16,Operations,Travel,South,126408,118238,Cash,TXN102994,-8170,-6.463198531738498
2021-04-26,HR,Infrastructure,West,30215,64531,Bank Transfer,TXN102995,34316,113.57272877709748
2023-05-11,Operations,Training,South,130148,68926,Card,TXN102996,-61222,-47.04029258997449
2022-11-24,Marketing,Training,West,123613,74207,Bank Transfer,TXN102997,-49406,-39.96828812503539
2021-11-20,Sales,Infrastructure,West,66098,103256,Bank Transfer,TXN102998,37158,56.21652697509758
2023-08-19,Sales,Training,West,78764,126256,Bank Transfer,TXN102999,47492,60.29658219491139
2021-04-24,Finance,Salaries,Central,103271,51437,UPI,TXN103000,-51834,-50.19221272186771
2023-12-18,HR,Training,West,133816,95233,UPI,TXN103001,-38583,-28.832874992527053
2021-06-03,Marketing,Training,East,49276,129666,Bank Transfer,TXN103002,80390,163.14230051140515
2021-11-11,HR,Utilities,North,41711,63195,UPI,TXN103003,21484,51.506796768238594
2023-12-01,Finance,Salaries,West,49764,165668,Card,TXN103004,115904,232.90732256249495
2021-04-15,Marketing,Travel,North,14844,162594,Card,TXN103005,147750,995.3516572352466
2021-12-20,Marketing,Marketing,North,117181,164823,Cash,TXN103006,47642,40.65676176171905
2023-10-13,Sales,Training,East,112539,100516,UPI,TXN103007,-12023,-10.683407529834103
2023-01-03,Sales,Travel,North,34630,17474,UPI,TXN103008,-17156,-49.54086052555587
2022-12-10,Sales,Travel,North,95132,8534,Bank Transfer,TXN103009,-86598,-91.02930664760544
2022-10-13,Operations,Salaries,North,111510,20040,Cash,TXN103010,-91470,-82.02851762173796
2023-04-04,IT,Marketing,South,27025,48529,Card,TXN103010,21504,79.57076780758557
2023-08-05,Sales,Utilities,West,14839,143738,Card,TXN103012,128899,868.6501785834625
2022-10-23,IT,Travel,West,48937,45441,Bank Transfer,TXN103013,-3496,-7.14387886466273
2021-04-09,IT,Utilities,North,123074,44766,UPI,TXN103014,-78308,-63.62676113557697
2022-08-11,HR,Marketing,East,56660,129305,Bank Transfer,TXN103015,72645,128.21214260501236
2021-10-09,Finance,Marketing,South,125911,162957,Cash,TXN103016,37046,29.422369769122636
2022-02-07,Operations,Salaries,East,43260,44460,Card,TXN103017,1200,2.7739251040221915
2022-12-01,IT,Infrastructure,East,106200,165487,Cash,TXN103018,59287,55.82580037664784
2021-07-18,Operations,Training,North,33206,110363,Card,TXN103019,77157,232.35860988977896
2021-11-23,HR,Salaries,Central,65763,49290,Card,TXN103020,-16473,-25.049039733588796
2021-06-03,Sales,Utilities,North,93059,68116,Cash,TXN103021,-24943,-26.803425783642638
2022-07-06,Marketing,Salaries,Central,16794,107831,Card,TXN103022,91037,542.0805049422413
2022-02-09,IT,Marketing,South,127973,136773,Card,TXN103023,8800,6.876450501277613
2022-04-07,Finance,Travel,Central,51961,109999,Cash,TXN103024,58038,111.69530994399646
2021-05-12,Marketing,Training,North,95801,51513,Card,TXN103025,-44288,-46.22916253483784
2023-03-02,HR,Training,North,21736,53139,Cash,TXN103026,31403,144.4746043430254
2023-05-24,Operations,Infrastructure,East,69395,50381,Bank Transfer,TXN103027,-19014,-27.39966856401758
2021-03-25,Sales,Marketing,North,90338,149495,UPI,TXN103028,59157,65.48407093360491
2023-01-24,Operations,Training,North,124946,10216,UPI,TXN103029,-114730,-91.82366782450019
2022-09-20,Finance,Training,West,89757,79872,UPI,TXN103030,-9885,-11.013068618603562
2021-08-09,IT,Travel,West,79385,115347,Card,TXN103031,35962,45.30074951187252
2022-07-07,Finance,Utilities,East,75285,23573,Cash,TXN103032,-51712,-68.68831772597463
2021-04-22,Operations,Utilities,Central,130862,32094,UPI,TXN103033,-98768,-75.47492778652321
2022-09-07,Operations,Utilities,Central,145688,82907,Card,TXN103034,-62781,-43.092773598374606
2023-07-13,Marketing,Salaries,West,100100,44363,Card,TXN103035,-55737,-55.68131868131868
2022-04-20,Finance,Utilities,South,75659,28751,Cash,TXN103036,-46908,-61.99923340250334
2023-04-16,Finance,Utilities,West,77713,63008,Bank Transfer,TXN103037,-14705,-18.922188050905252
2021-09-28,Finance,Salaries,South,56811,137579,Cash,TXN103038,80768,142.1696502437908
2022-02-25,Sales,Travel,Central,73387,149123,Card,TXN103039,75736,103.20083938572226
2022-12-08,Operations,Marketing,West,143196,62153,Bank Transfer,TXN103040,-81043,-56.59585463281097
2021-02-09,HR,Training,North,111558,8737,Bank Transfer,TXN103041,-102821,-92.16819950160455
2021-07-08,Sales,Infrastructure,South,77949,117308,UPI,TXN103042,39359,50.49327124145274
2023-09-21,Sales,Training,South,16089,84520,Card,TXN103043,68431,425.327863757847
2022-06-20,Sales,Utilities,South,15833,158274,Cash,TXN103044,142441,899.6463083433335
2023-10-25,Marketing,Utilities,Central,59308,152158,Cash,TXN103045,92850,156.5556080124098
2021-10-17,HR,Training,East,52083,111646,UPI,TXN103046,59563,114.36169191482826
2022-03-09,Finance,Training,North,125605,86784,Card,TXN103047,-38821,-30.907209107917677
2022-04-16,Marketing,Utilities,West,89674,96836,Cash,TXN103048,7162,7.986707406829181
2022-09-20,Operations,Salaries,South,11702,167809,Cash,TXN103049,156107,1334.0198256708256
2021-10-06,IT,Salaries,Central,31773,49486,Cash,TXN103050,17713,55.74859157146005
2023-05-27,Marketing,Salaries,South,48575,22436,Bank Transfer,TXN103051,-26139,-53.811631497684
2022-08-04,IT,Infrastructure,West,30098,57094,Bank Transfer,TXN103052,26996,89.6936673533125
2023-05-13,Operations,Marketing,North,82519,31818,UPI,TXN103053,-50701,-61.441607387389574
2021-09-11,HR,Utilities,South,138699,80233,UPI,TXN103054,-58466,-42.15315178912609
2021-06-30,IT,Travel,Central,12397,12161,Cash,TXN103055,-236,-1.9036863757360651
2022-11-12,Sales,Training,Central,36770,136349,Card,TXN103056,99579,270.81588251291817
2023-04-05,Marketing,Training,East,48222,18043,Card,TXN103057,-30179,-62.58346812658123
2022-12-01,IT,Utilities,Central,103737,130765,UPI,TXN103058,27028,26.054348978667207
2022-07-20,Operations,Utilities,East,59033,73655,Card,TXN103059,14622,24.769196889875154
2022-11-11,Sales,Utilities,North,75879,153652,Card,TXN103060,77773,102.49607928412341
2022-01-26,IT,Training,West,88475,61636,Cash,TXN103061,-26839,-30.33512291607799
2021-07-31,Operations,Utilities,East,25950,151646,Cash,TXN103062,125696,484.3776493256262
2022-01-19,HR,Training,South,106081,137848,Card,TXN103063,31767,29.945984672090198
2021-12-08,Operations,Marketing,South,58787,58942,Cash,TXN103064,155,0.2636637351795465
2023-04-24,HR,Travel,West,98768,119009,Card,TXN103065,20241,20.49347966952859
2023-11-28,Sales,Salaries,Central,100150,57502,Card,TXN103066,-42648,-42.58412381427858
2022-02-24,Operations,Travel,South,105551,18394,Bank Transfer,TXN103067,-87157,-82.57335316576821
2023-01-21,Finance,Utilities,East,116350,128145,Card,TXN103068,11795,10.137516115169747
2021-11-02,Marketing,Travel,West,137943,10250,Bank Transfer,TXN103069,-127693,-92.56939460501802
2022-12-03,Finance,Utilities,South,72926,160516,UPI,TXN103070,87590,120.10805474042179
2023-05-19,Finance,Travel,Central,14986,162039,Card,TXN103071,147053,981.2691845722675
2022-06-21,Finance,Infrastructure,Central,88485,27621,UPI,TXN103072,-60864,-68.78453975250042
2021-07-25,Marketing,Travel,South,141307,96442,Cash,TXN103073,-44865,-31.75001946117319
2022-05-11,Finance,Salaries,West,149065,118005,Bank Transfer,TXN103074,-31060,-20.836547814711704
2023-12-07,HR,Salaries,North,80760,32623,UPI,TXN103075,-48137,-59.6050024764735
2022-05-19,Operations,Travel,South,75587,100388,Cash,TXN103076,24801,32.81119769272494
2023-11-12,Sales,Training,Central,85108,62999,Card,TXN103077,-22109,-25.977581425952906
2021-08-01,Finance,Training,North,18498,104207,Bank Transfer,TXN103078,85709,463.34198291707213
2021-11-06,Finance,Training,West,55066,154088,Card,TXN103079,99022,179.82421094686376
2022-10-23,Sales,Travel,Central,99529,118520,UPI,TXN103080,18991,19.080870901948177
2023-01-23,Sales,Training,West,22485,24321,Card,TXN103081,1836,8.165443629086058
2021-09-29,Finance,Marketing,South,79136,19376,Cash,TXN103082,-59760,-75.51556813586737
2023-07-27,HR,Travel,West,56264,26276,UPI,TXN103083,-29988,-53.29873453718186
2021-02-01,Sales,Salaries,Central,55606,87392,Bank Transfer,TXN103084,31786,57.16289609034996
2022-03-19,Operations,Training,South,46346,33544,Cash,TXN103085,-12802,-27.622664307599358
2021-06-11,Operations,Infrastructure,Central,113865,68504,Cash,TXN103086,-45361,-39.837526895885475
2023-02-06,HR,Training,Central,125192,53701,Bank Transfer,TXN103087,-71491,-57.10508658700236
2021-09-11,Marketing,Salaries,North,133016,126794,Cash,TXN103088,-6222,-4.67763276598304
2022-06-05,IT,Marketing,East,63166,117594,UPI,TXN103089,54428,86.16660861856062
2023-09-04,HR,Travel,West,49075,43271,Card,TXN103090,-5804,-11.826795720835456
2021-01-10,Finance,Training,West,88675,30444,Bank Transfer,TXN103091,-58231,-65.66788835635748
2022-12-27,IT,Infrastructure,North,113446,95070,Bank Transfer,TXN103092,-18376,-16.198014914584913
2022-05-20,Finance,Salaries,West,14806,17662,UPI,TXN103093,2856,19.28947723895718
2023-02-24,Operations,Infrastructure,North,39357,118248,UPI,TXN103094,78891,200.44972940010672
2022-03-12,Sales,Utilities,West,68877,152324,Bank Transfer,TXN103095,83447,121.15365071068717
2021-06-02,Finance,Salaries,West,120137,35214,Bank Transfer,TXN103096,-84923,-70.6884640035959
2023-07-06,Operations,Utilities,Central,63155,110798,Bank Transfer,TXN103097,47643,75.43820758451429
2023-05-19,HR,Infrastructure,North,68051,24350,Bank Transfer,TXN103098,-43701,-64.21801296086758
2023-01-23,Finance,Travel,West,134503,27987,UPI,TXN103099,-106516,-79.19228567392548
2022-07-17,Operations,Travel,East,83147,14761,Card,TXN103100,-68386,-82.24710452571951
2022-05-04,Sales,Travel,North,137117,32358,Bank Transfer,TXN103101,-104759,-76.40117563832347
2023-06-14,Finance,Utilities,North,86742,62601,Cash,TXN103102,-24141,-27.83080860482811
2021-04-14,Marketing,Travel,North,107486,134553,Cash,TXN103103,27067,25.181884152354726
2023-10-22,Operations,Marketing,Central,142779,98249,Cash,TXN103104,-44530,-31.18805986874821
2023-10-04,Finance,Salaries,North,32290,11751,UPI,TXN103105,-20539,-63.60792815113038
2022-02-11,Sales,Salaries,Central,94875,144916,Bank Transfer,TXN103106,50041,52.744137022397894
2021-06-16,Finance,Infrastructure,East,29311,37153,UPI,TXN103107,7842,26.75446078264133
2022-05-24,Finance,Training,South,58175,147563,Cash,TXN103108,89388,153.6536312849162
2021-11-09,Marketing,Utilities,Central,12720,155487,Card,TXN103109,142767,1122.382075471698
2023-02-02,Operations,Salaries,West,45790,16733,Cash,TXN103110,-29057,-63.45708670015288
2022-11-12,IT,Utilities,North,91285,126144,Bank Transfer,TXN103111,34859,38.18699676836282
2022-04-22,Finance,Infrastructure,South,125066,38516,Card,TXN103112,-86550,-69.20346057281755
2021-03-14,IT,Travel,Central,100328,134283,Card,TXN103113,33955,33.84399170720038
2022-08-05,HR,Training,West,32442,132971,Card,TXN103114,100529,309.8730041304482
2021-09-19,Finance,Infrastructure,South,33802,57698,Cash,TXN103115,23896,70.69404177267617
2021-09-02,IT,Marketing,East,22721,123671,UPI,TXN103116,100950,444.30262752519695
2022-07-15,HR,Travel,Central,45757,22759,Cash,TXN103117,-22998,-50.26116222654458
2021-06-24,Marketing,Travel,Central,101402,120571,Bank Transfer,TXN103118,19169,18.90396639119544
2021-04-19,Operations,Travel,East,11939,32955,Card,TXN103119,21016,176.02814306055782
2021-07-02,Finance,Infrastructure,Central,129382,91835,UPI,TXN103120,-37547,-29.02026557017205
2021-07-11,Operations,Marketing,North,41989,62206,UPI,TXN103121,20217,48.1483245611946
2021-03-06,HR,Training,Central,140404,165833,Bank Transfer,TXN103122,25429,18.111307370160397
2023-08-21,Operations,Utilities,North,83251,163182,Bank Transfer,TXN103123,79931,96.01205991519622
2023-05-14,Operations,Infrastructure,Central,24454,20695,Bank Transfer,TXN103124,-3759,-15.371718328289848
2022-01-04,Sales,Salaries,West,142449,98296,Card,TXN103125,-44153,-30.995654585149772
2023-05-01,HR,Salaries,West,45523,83793,Card,TXN103126,38270,84.06739450387715
2021-02-12,Operations,Infrastructure,South,40807,58872,Bank Transfer,TXN103127,18065,44.26936555002818
2022-05-03,IT,Utilities,West,28467,113082,Card,TXN103128,84615,297.2389082095058
2021-03-19,HR,Salaries,East,47177,40938,Cash,TXN103129,-6239,-13.224664561120886
2023-04-06,Sales,Utilities,South,58667,147663,UPI,TXN103130,88996,151.69686535871955
2022-11-05,Finance,Travel,West,65259,56013,Card,TXN103131,-9246,-14.16816071346481
2022-12-02,Marketing,Infrastructure,North,46872,19784,UPI,TXN103132,-27088,-57.79143198498037
2023-01-29,Operations,Travel,Central,20522,72712,Cash,TXN103133,52190,254.31244518078162
2022-12-29,IT,Salaries,West,124108,167300,Card,TXN103134,43192,34.8019466915912
2023-07-14,Sales,Utilities,North,50425,131118,Bank Transfer,TXN103135,80693,160.02578086266732
2023-06-21,HR,Travel,South,15478,32466,Bank Transfer,TXN103136,16988,109.75578240082697
2023-06-08,Marketing,Salaries,Central,103873,150885,Cash,TXN103137,47012,45.259114495585955
2023-09-20,Marketing,Marketing,West,61793,100687,Cash,TXN103138,38894,62.94240447947178
2021-12-05,Operations,Travel,South,15025,14620,Card,TXN103139,-405,-2.695507487520799
2021-07-12,Sales,Marketing,West,17764,33924,Cash,TXN103140,16160,90.97050213915784
2021-10-10,Sales,Marketing,South,79036,42857,UPI,TXN103141,-36179,-45.77534288172478
2022-01-25,IT,Training,West,105062,156011,Bank Transfer,TXN103142,50949,48.49422245911938
2023-09-27,Finance,Salaries,North,41521,83682,Card,TXN103143,42161,101.5413886948773
2022-06-09,Finance,Infrastructure,East,38807,110037,Cash,TXN103144,71230,183.54935965160925
2022-10-21,Finance,Utilities,North,28013,70743,UPI,TXN103145,42730,152.53632242173276
2022-12-17,Marketing,Salaries,Central,21311,154150,Bank Transfer,TXN103146,132839,623.3353667120267
2023-06-10,Marketing,Training,West,90483,113777,Bank Transfer,TXN103147,23294,25.74406242056519
2022-03-28,HR,Training,East,19041,123684,Card,TXN103148,104643,549.5667244367418
2022-03-04,Marketing,Travel,East,81796,8845,Card,TXN103149,-72951,-89.18651278791138
2023-11-12,Marketing,Utilities,Central,33306,38678,Card,TXN103150,5372,16.12922596529154
2023-06-02,Sales,Training,Central,99086,145725,Card,TXN103151,46639,47.069212603193186
2021-11-09,HR,Infrastructure,East,102151,74855,Cash,TXN103152,-27296,-26.721226419711996
2023-04-20,Sales,Salaries,Central,88359,94037,Card,TXN103153,5678,6.426057334284001
2022-06-03,IT,Infrastructure,Central,139428,50670,Cash,TXN103154,-88758,-63.658662535502195
2022-01-10,IT,Travel,West,72960,29487,UPI,TXN103155,-43473,-59.584703947368425
2022-03-27,HR,Salaries,North,73741,87868,UPI,TXN103156,14127,19.157592112935813
2023-10-12,HR,Travel,South,69000,163889,Bank Transfer,TXN103157,94889,137.52028985507246
2022-08-18,Marketing,Utilities,East,37207,76426,UPI,TXN103158,39219,105.40758459429678
2022-05-15,IT,Utilities,South,13936,13513,UPI,TXN103159,-423,-3.035304247990815
2022-04-09,Operations,Infrastructure,East,61775,68842,Card,TXN103160,7067,11.439902873330636
2021-04-23,Finance,Infrastructure,East,28674,147716,Card,TXN103161,119042,415.1565878496199
2023-11-02,Marketing,Utilities,North,24374,116756,Card,TXN103162,92382,379.01862640518584
2021-11-27,Finance,Marketing,East,106128,126000,UPI,TXN103163,19872,18.724559023066487
2021-05-20,IT,Utilities,East,125040,162592,Card,TXN103164,37552,30.031989763275753
2023-06-21,Finance,Salaries,North,137401,51675,Card,TXN103165,-85726,-62.39110341263891
2022-06-01,Operations,Travel,Central,119644,74604,Card,TXN103166,-45040,-37.64501354016917
